,date,total crashes,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,day_of_week
0,2021-01-01,0.0,3.0,-1.3,1.1,0.0,-3.2,-1.2,0.3,94.6,0.326,100,8.33,"rain,snow",0.0,0.0,26.3,14.5,348.0,1012.0,74.3,10.3,314.2,27.2,1,2021-01-01T08:15:50,2021-01-01T16:12:30,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,6
1,2021-01-02,0.0,3.0,-1.0,1.1,1.0,-5.4,-1.9,-0.1,91.8,0.681,100,12.5,"rain,snow",0.0,0.0,24.8,21.4,337.1,1016.4,64.6,11.2,146.0,12.6,2,2021-01-02T08:15:41,2021-01-02T16:13:35,0.62,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,7
2,2021-01-03,1.0,3.1,0.0,1.7,0.0,-4.5,-2.7,1.4,97.6,0.286,100,12.5,"rain,snow",0.0,0.0,37.8,26.7,30.9,1017.6,95.8,8.2,298.3,25.8,1,2021-01-03T08:15:30,2021-01-03T16:14:43,0.65,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,8
3,2021-01-04,3.0,3.3,1.0,2.2,-1.9,-5.0,-3.2,0.7,90.5,0.0,0,0.0,,0.0,0.0,54.4,31.3,33.6,1020.3,88.8,12.4,363.7,31.6,1,2021-01-04T08:15:15,2021-01-04T16:15:53,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,2
4,2021-01-05,3.0,3.1,0.1,1.4,-2.6,-5.3,-3.9,-0.5,87.4,0.0,0,0.0,,0.0,0.0,43.6,31.7,24.8,1021.6,81.2,14.2,136.5,11.8,2,2021-01-05T08:14:56,2021-01-05T16:17:06,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,3
5,2021-01-06,2.0,2.3,-1.0,1.0,-1.0,-5.8,-3.5,-0.1,92.3,0.0,0,0.0,,0.0,0.0,38.9,25.9,28.0,1020.8,86.5,11.8,72.0,6.2,1,2021-01-06T08:14:35,2021-01-06T16:18:22,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,4
6,2021-01-07,2.0,1.4,-3.0,-0.9,0.4,-6.1,-2.6,-1.3,97.1,0.0,0,0.0,,0.0,0.0,14.4,13.5,274.8,1019.4,70.4,6.2,86.8,7.5,1,2021-01-07T08:14:10,2021-01-07T16:19:39,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,5
7,2021-01-08,2.0,1.1,-0.3,0.8,0.8,-4.4,-2.1,0.3,97.0,0.247,100,8.33,"rain,snow",0.0,0.0,24.5,17.6,34.9,1018.5,93.9,7.3,61.4,5.4,0,2021-01-08T08:13:42,2021-01-08T16:20:59,0.83,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,6
8,2021-01-09,2.0,0.1,-1.8,-0.7,0.1,-6.6,-3.2,-0.8,99.1,0.0,0,0.0,,0.0,0.1,21.2,16.6,48.5,1026.5,99.8,2.2,63.0,5.5,1,2021-01-09T08:13:11,2021-01-09T16:22:21,0.87,Overcast,Cloudy skies throughout the day.,cloudy,7
9,2021-01-10,2.0,4.9,-1.1,1.7,2.2,-4.0,-0.8,1.3,96.7,0.029,100,4.17,rain,0.0,0.0,16.2,14.1,258.8,1026.5,90.2,7.9,332.3,28.8,2,2021-01-10T08:12:36,2021-01-10T16:23:45,0.9,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,8
10,2021-01-11,2.0,8.1,4.9,6.3,3.9,0.7,2.2,5.6,95.1,0.778,100,16.67,rain,0.0,0.0,54.7,37.0,254.1,1018.8,96.9,9.3,286.7,24.7,1,2021-01-11T08:11:59,2021-01-11T16:25:11,0.94,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,2
11,2021-01-12,0.0,8.8,4.0,7.0,7.4,1.9,4.2,6.6,97.5,3.914,100,41.67,rain,0.0,0.0,66.6,44.6,269.5,1015.0,97.0,6.9,346.3,29.8,1,2021-01-12T08:11:18,2021-01-12T16:26:39,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,3
12,2021-01-13,0.0,9.0,4.8,7.6,5.7,3.4,4.2,7.4,99.1,3.288,100,20.83,rain,0.0,0.0,44.6,40.6,256.8,1019.1,99.3,3.1,219.8,18.9,1,2021-01-13T08:10:34,2021-01-13T16:28:08,0.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,4
13,2021-01-14,1.0,9.1,2.2,7.5,6.5,-1.7,4.1,6.7,95.0,4.204,100,29.17,rain,0.0,0.0,47.9,27.4,287.0,1017.6,97.5,9.4,266.9,23.1,1,2021-01-14T08:09:48,2021-01-14T16:29:40,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,5
14,2021-01-15,1.0,2.8,-0.8,0.8,0.2,-4.8,-1.8,0.1,95.1,0.045,100,4.17,rain,0.0,0.0,32.4,18.9,93.5,1029.7,78.2,8.3,117.4,10.2,1,2021-01-15T08:08:58,2021-01-15T16:31:13,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,6
15,2021-01-16,0.0,8.2,3.8,6.2,4.8,-0.8,2.4,4.7,90.3,5.054,100,25.0,rain,0.0,0.0,52.9,27.3,233.4,1019.5,91.1,10.3,318.7,27.5,2,2021-01-16T08:08:06,2021-01-16T16:32:47,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,7
16,2021-01-17,1.0,6.2,3.0,4.6,3.2,-1.6,1.1,3.0,89.1,0.0,0,0.0,,0.0,0.0,27.7,22.2,260.2,1025.0,53.5,11.7,334.8,28.9,1,2021-01-17T08:07:11,2021-01-17T16:34:23,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,8
17,2021-01-18,0.0,9.1,3.7,5.7,6.5,-0.4,2.6,5.0,95.2,0.284,100,12.5,rain,0.0,0.0,46.1,22.2,216.0,1020.8,89.6,11.7,340.9,29.2,1,2021-01-18T08:06:12,2021-01-18T16:36:00,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,2
18,2021-01-19,1.0,10.1,9.1,9.5,10.1,5.1,6.8,8.7,95.2,4.089,100,54.17,rain,0.0,0.0,64.8,34.6,230.1,1003.3,98.7,10.4,337.7,29.3,1,2021-01-19T08:05:12,2021-01-19T16:37:39,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,3
19,2021-01-20,3.0,10.9,3.3,9.2,10.9,-2.8,6.4,8.7,97.3,12.017,100,83.33,rain,0.0,0.0,68.3,41.4,202.6,984.7,97.7,9.5,5.2,0.4,0,2021-01-20T08:04:08,2021-01-20T16:39:19,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,4
20,2021-01-21,1.0,6.1,2.0,4.0,2.8,-3.0,-0.3,2.1,88.0,9.043,100,33.33,rain,0.0,0.0,59.4,37.7,246.9,985.2,72.0,13.0,201.3,17.3,2,2021-01-21T08:03:02,2021-01-21T16:41:00,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,5
21,2021-01-22,4.0,6.0,1.0,2.6,3.4,-3.8,-0.8,1.8,94.3,0.821,100,8.33,rain,0.0,0.4,31.0,21.7,243.5,992.4,47.3,12.2,322.1,27.8,2,2021-01-22T08:01:53,2021-01-22T16:42:42,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,6
22,2021-01-23,2.0,3.2,-1.1,0.9,1.4,-4.3,-2.1,-0.8,89.1,0.432,100,12.5,"rain,snow",0.0,1.2,27.4,21.5,278.5,996.4,41.3,11.4,139.9,12.2,2,2021-01-23T08:00:42,2021-01-23T16:44:24,0.33,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,7
23,2021-01-24,1.0,2.8,-0.6,0.8,0.4,-5.3,-2.7,-0.3,92.6,3.438,100,20.83,"rain,snow",0.0,1.6,35.3,21.4,252.5,996.8,84.1,12.2,93.8,8.1,2,2021-01-24T07:59:28,2021-01-24T16:46:08,0.36,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,8
24,2021-01-25,3.0,4.1,-3.0,0.7,0.0,-6.7,-3.2,-1.7,83.6,0.238,100,12.5,"rain,snow",0.0,1.0,32.8,22.4,269.7,1011.3,30.5,14.2,111.0,9.6,2,2021-01-25T07:58:12,2021-01-25T16:47:53,0.39,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,2
25,2021-01-26,0.0,8.0,1.6,4.5,5.7,-2.1,1.3,3.0,90.1,3.023,100,16.67,"rain,snow",0.0,0.4,44.3,25.8,193.9,1014.6,84.4,10.4,287.7,24.7,1,2021-01-26T07:56:54,2021-01-26T16:49:38,0.43,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,3
26,2021-01-27,2.0,9.1,7.0,8.3,9.0,3.5,6.2,8.3,99.7,2.721,100,58.33,rain,0.0,0.4,29.9,21.6,243.0,1011.1,97.2,2.2,328.2,28.4,1,2021-01-27T07:55:33,2021-01-27T16:51:25,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,4
27,2021-01-28,0.0,10.3,9.0,9.9,10.3,5.1,8.7,9.7,98.6,12.371,100,33.33,rain,0.0,0.0,63.0,39.3,246.1,1001.6,96.6,5.9,345.6,29.8,2,2021-01-28T07:54:10,2021-01-28T16:53:11,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,5
28,2021-01-29,3.0,9.2,6.2,7.8,5.6,2.9,4.2,6.9,94.3,8.051,100,20.83,rain,0.0,0.0,61.2,40.4,256.0,999.3,93.0,9.9,351.1,30.3,3,2021-01-29T07:52:44,2021-01-29T16:54:59,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,6
29,2021-01-30,0.0,6.9,2.1,4.1,5.2,-4.5,-1.0,3.5,96.1,8.288,100,45.83,rain,0.0,0.0,53.6,40.0,72.4,995.7,96.9,10.4,205.2,17.5,0,2021-01-30T07:51:17,2021-01-30T16:56:46,0.56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,7
30,2021-01-31,2.0,2.1,-1.7,0.3,-3.0,-6.5,-4.5,-0.8,92.7,1.94,100,20.83,"rain,snow",0.0,0.1,43.6,28.2,67.2,997.5,81.7,8.7,95.1,8.0,1,2021-01-31T07:49:47,2021-01-31T16:58:35,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,8
31,2021-02-01,4.0,3.9,1.1,2.1,1.6,-3.7,-1.1,1.7,97.0,0.323,100,16.67,"rain,snow",0.0,0.0,36.7,23.3,73.8,996.8,99.9,3.4,327.7,28.2,1,2021-02-01T07:48:16,2021-02-01T17:00:23,0.63,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,2
32,2021-02-02,1.0,11.9,4.1,8.9,11.9,0.3,6.5,7.5,91.7,6.571,100,50.0,rain,0.0,0.0,58.0,27.0,211.3,993.1,91.0,9.0,345.2,29.8,2,2021-02-02T07:46:42,2021-02-02T17:02:12,0.67,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,3
33,2021-02-03,1.0,8.2,5.8,7.0,6.9,2.8,4.4,4.9,86.8,0.641,100,12.5,rain,0.0,0.0,51.8,24.2,240.1,996.7,72.9,11.4,298.0,25.6,2,2021-02-03T07:45:07,2021-02-03T17:04:01,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,4
34,2021-02-04,3.0,8.9,4.5,6.6,6.7,2.2,4.2,5.7,94.3,5.131,100,29.17,rain,0.0,0.0,33.8,17.8,163.8,1006.5,75.5,9.3,372.5,32.1,1,2021-02-04T07:43:29,2021-02-04T17:05:51,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,5
35,2021-02-05,2.0,9.0,2.9,5.6,6.3,0.5,3.1,4.4,92.3,3.641,100,20.83,rain,0.0,0.0,35.3,19.4,211.1,1007.3,72.9,11.9,380.3,33.0,3,2021-02-05T07:41:50,2021-02-05T17:07:40,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,6
36,2021-02-06,2.0,5.9,-0.8,2.6,4.8,-3.4,0.0,1.3,91.5,0.567,100,12.5,rain,0.0,0.0,28.4,19.1,59.4,1007.1,67.5,10.3,394.8,34.0,3,2021-02-06T07:40:09,2021-02-06T17:09:30,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,7
37,2021-02-07,1.0,3.0,0.1,1.5,-1.4,-6.7,-4.3,-2.0,78.4,0.354,100,16.67,rain,0.0,0.0,56.9,34.5,37.8,1006.4,97.6,11.7,153.2,13.3,1,2021-02-07T07:38:26,2021-02-07T17:11:20,0.85,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,8
38,2021-02-08,0.0,0.9,-1.9,-0.6,-5.7,-8.3,-7.1,-4.9,73.1,0.0,0,0.0,,0.0,0.7,57.6,37.4,50.1,1004.8,90.6,14.1,85.2,7.5,2,2021-02-08T07:36:42,2021-02-08T17:13:10,0.88,Overcast,Cloudy skies throughout the day.,cloudy,2
39,2021-02-09,0.0,0.0,-2.8,-1.6,-6.5,-10.1,-8.2,-4.9,78.1,0.045,100,4.17,"rain,snow",0.0,0.0,58.7,38.2,67.7,1006.3,81.4,13.6,94.3,8.1,2,2021-02-09T07:34:56,2021-02-09T17:15:00,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,3
40,2021-02-10,0.0,1.9,-3.9,-1.7,1.0,-10.3,-7.2,-5.4,76.3,0.0,0,0.0,,0.0,0.4,43.6,28.5,50.5,1016.2,51.8,12.0,110.7,9.7,2,2021-02-10T07:33:09,2021-02-10T17:16:50,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,4
41,2021-02-11,1.0,0.1,-5.7,-2.4,-0.9,-11.7,-8.2,-6.1,76.7,0.0,0,0.0,,0.0,0.7,56.7,36.6,96.3,1025.0,60.3,10.2,98.8,8.7,2,2021-02-11T07:31:19,2021-02-11T17:18:39,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,5
42,2021-02-12,3.0,2.0,-3.8,-1.3,-1.8,-11.6,-7.2,-7.5,63.3,0.0,0,0.0,,0.0,1.1,57.6,40.4,91.9,1028.1,43.5,10.0,108.0,9.4,3,2021-02-12T07:29:29,2021-02-12T17:20:29,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,6
43,2021-02-13,3.0,1.1,-3.9,-1.4,-3.5,-11.6,-7.6,-6.0,71.2,0.161,100,4.17,"rain,snow",0.0,1.1,51.1,30.9,112.9,1029.4,75.0,11.4,89.4,7.7,1,2021-02-13T07:27:37,2021-02-13T17:22:19,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,7
44,2021-02-14,1.0,6.8,1.9,3.6,3.0,-4.1,-1.6,1.6,86.9,4.421,100,37.5,"rain,snow",0.0,0.1,65.2,35.6,144.2,1021.3,97.6,9.5,228.8,19.9,0,2021-02-14T07:25:43,2021-02-14T17:24:09,0.09,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,8
45,2021-02-15,2.0,10.9,7.7,8.9,10.9,4.3,7.0,7.6,92.3,3.874,100,20.83,rain,0.0,0.0,54.7,26.2,195.6,1016.4,94.7,8.6,269.3,23.2,2,2021-02-15T07:23:49,2021-02-15T17:25:58,0.12,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,2
46,2021-02-16,1.0,10.1,6.9,8.8,10.1,4.0,6.4,7.0,88.7,3.91,100,25.0,rain,0.0,0.0,56.2,29.4,211.7,1008.6,74.0,10.9,364.6,31.6,3,2021-02-16T07:21:53,2021-02-16T17:27:47,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,3
47,2021-02-17,0.0,10.9,6.9,8.9,10.9,3.8,6.1,7.5,90.8,6.861,100,37.5,rain,0.0,0.0,66.6,38.9,195.2,1007.2,85.1,9.7,353.8,30.3,2,2021-02-17T07:19:55,2021-02-17T17:29:36,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,4
48,2021-02-18,1.0,9.0,4.0,7.1,5.3,0.8,3.3,3.6,78.8,3.889,100,20.83,rain,0.0,0.0,65.5,33.9,214.4,1002.3,53.2,11.5,374.6,32.2,3,2021-02-18T07:17:57,2021-02-18T17:31:25,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,5
49,2021-02-19,0.0,11.0,4.8,8.5,11.0,1.2,6.0,6.2,85.7,0.636,100,20.83,rain,0.0,0.0,67.9,40.7,180.6,1004.3,87.6,10.6,290.3,25.0,0,2021-02-19T07:15:57,2021-02-19T17:33:14,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,6
50,2021-02-20,0.0,11.9,9.0,10.4,11.9,5.0,9.0,8.1,85.8,3.287,100,4.17,rain,0.0,0.0,65.2,38.1,170.0,999.8,82.8,10.6,274.1,23.7,1,2021-02-20T07:13:57,2021-02-20T17:35:02,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,7
51,2021-02-21,0.0,11.0,8.0,9.4,11.0,5.7,8.1,8.0,90.8,1.008,100,8.33,rain,0.0,0.0,35.6,15.4,155.6,1006.9,85.5,11.4,321.6,27.6,2,2021-02-21T07:11:55,2021-02-21T17:36:50,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,8
52,2021-02-22,2.0,9.9,6.0,7.5,9.9,2.9,5.8,5.5,87.5,2.532,100,25.0,rain,0.0,0.0,26.6,21.2,242.5,1014.7,64.4,10.8,260.5,22.7,3,2021-02-22T07:09:52,2021-02-22T17:38:38,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,2
53,2021-02-23,2.0,12.0,5.9,9.4,12.0,3.0,7.9,5.9,79.1,0.029,100,4.17,rain,0.0,0.0,67.7,43.1,180.4,1020.0,70.5,11.8,300.8,26.0,4,2021-02-23T07:07:48,2021-02-23T17:40:26,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,3
54,2021-02-24,0.0,13.2,10.2,11.7,13.2,10.2,11.7,8.5,80.6,0.129,100,8.33,rain,0.0,0.0,65.9,39.3,201.2,1019.8,88.4,12.3,301.0,26.2,3,2021-02-24T07:05:43,2021-02-24T17:42:13,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,4
55,2021-02-25,3.0,10.1,3.0,7.4,10.1,0.8,5.4,5.2,86.5,0.105,100,8.33,rain,0.0,0.0,34.2,22.8,255.6,1027.4,62.1,16.9,270.2,23.5,4,2021-02-25T07:03:38,2021-02-25T17:44:00,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,5
56,2021-02-26,6.0,9.3,1.5,5.1,7.5,-0.5,3.4,2.3,83.2,0.141,100,4.17,rain,0.0,0.0,22.7,14.2,275.7,1037.8,24.0,11.5,210.3,18.2,4,2021-02-26T07:01:31,2021-02-26T17:45:47,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,6
57,2021-02-27,1.0,10.1,0.9,5.0,10.1,-1.6,3.5,2.4,84.7,0.061,100,4.17,rain,0.0,0.0,17.3,10.8,32.5,1041.1,32.3,10.6,230.9,19.9,4,2021-02-27T06:59:24,2021-02-27T17:47:33,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,7
58,2021-02-28,0.0,11.1,1.1,5.7,11.1,-2.5,3.1,2.5,81.6,0.045,100,4.17,rain,0.0,0.0,31.7,24.7,64.0,1036.5,0.0,10.8,347.2,30.1,5,2021-02-28T06:57:16,2021-02-28T17:49:20,0.54,Rain,Clear conditions throughout the day with afternoon rain.,rain,8
59,2021-03-01,1.0,9.0,1.3,4.2,6.1,-2.5,0.5,2.7,90.0,0.064,100,4.17,rain,0.0,0.0,35.6,23.3,64.1,1030.3,51.0,6.9,238.0,20.6,4,2021-03-01T06:55:07,2021-03-01T17:51:06,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,2
60,2021-03-02,2.0,5.3,1.1,2.7,1.8,-4.0,-1.5,1.8,94.5,0.0,0,0.0,,0.0,0.0,28.4,21.1,57.9,1028.6,78.6,3.1,164.5,14.1,3,2021-03-02T06:52:57,2021-03-02T17:52:51,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,3
61,2021-03-03,4.0,8.1,2.2,5.3,6.8,-1.6,2.8,4.9,96.9,0.82,100,12.5,rain,0.0,0.0,21.2,15.6,52.9,1026.0,94.5,1.5,288.8,24.9,2,2021-03-03T06:50:47,2021-03-03T17:54:37,0.65,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,4
62,2021-03-04,4.0,6.1,2.4,4.1,4.3,-1.0,1.0,3.0,92.6,1.973,100,12.5,rain,0.0,0.0,30.2,20.8,18.9,1024.9,98.5,5.6,239.0,20.4,2,2021-03-04T06:48:36,2021-03-04T17:56:22,0.68,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,5
63,2021-03-05,0.0,5.0,1.2,2.9,1.0,-2.5,-1.0,-2.1,70.0,0.0,0,0.0,,0.0,0.0,36.0,24.8,45.4,1031.3,94.0,13.8,225.8,19.5,3,2021-03-05T06:46:24,2021-03-05T17:58:06,0.72,Overcast,Cloudy skies throughout the day.,cloudy,6
64,2021-03-06,1.0,5.1,-1.7,1.8,2.1,-4.4,-0.8,-3.4,69.4,0.0,0,0.0,,0.0,0.0,28.1,16.1,48.8,1033.0,76.1,14.6,183.8,16.3,4,2021-03-06T06:44:12,2021-03-06T17:59:51,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,7
65,2021-03-07,1.0,5.1,-1.7,1.3,3.1,-5.2,-0.9,-4.1,68.0,0.0,0,0.0,,0.0,0.0,20.5,12.4,346.8,1027.2,60.2,12.6,218.5,18.6,5,2021-03-07T06:42:00,2021-03-07T18:01:35,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,8
66,2021-03-08,4.0,8.3,0.6,4.0,6.3,-2.2,1.8,-0.1,75.9,0.0,0,0.0,,0.0,0.0,20.9,15.6,245.6,1023.8,67.5,10.9,337.4,29.1,5,2021-03-08T06:39:47,2021-03-08T18:03:19,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,2
67,2021-03-09,2.0,10.1,1.0,5.3,10.1,-2.7,2.4,1.9,80.1,0.0,0,0.0,,0.0,0.0,42.8,20.4,212.4,1019.6,42.5,11.0,375.8,32.6,5,2021-03-09T06:37:33,2021-03-09T18:05:03,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,3
68,2021-03-10,2.0,11.0,6.0,8.3,11.0,1.5,5.4,6.8,90.2,2.515,100,16.67,rain,0.0,0.0,88.2,34.2,185.3,1004.0,90.5,9.7,342.9,29.7,1,2021-03-10T06:35:19,2021-03-10T18:06:46,0.9,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,4
69,2021-03-11,1.0,10.8,3.5,7.2,10.8,-1.3,2.9,4.0,80.5,3.214,100,37.5,rain,0.0,0.0,95.8,48.5,233.7,996.7,81.2,11.2,347.6,29.9,4,2021-03-11T06:33:04,2021-03-11T18:08:30,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,5
70,2021-03-12,0.0,8.2,3.5,6.0,4.2,-1.3,1.8,3.3,82.9,6.37,100,37.5,rain,0.0,0.0,76.7,43.0,220.4,1001.2,80.2,11.0,444.1,38.5,5,2021-03-12T06:30:50,2021-03-12T18:10:13,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,6
71,2021-03-13,0.0,8.0,4.0,5.5,3.6,-2.1,0.2,2.0,78.4,6.916,100,25.0,rain,0.0,0.0,81.7,54.6,250.8,996.9,76.0,12.0,396.6,34.1,6,2021-03-13T06:28:34,2021-03-13T18:11:55,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,7
72,2021-03-14,0.0,9.1,5.0,6.8,4.8,0.7,2.4,4.1,83.8,1.857,100,12.5,rain,0.0,0.0,53.3,39.8,251.0,1014.9,90.5,10.7,414.8,36.0,5,2021-03-14T06:26:19,2021-03-14T18:13:38,0.03,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,8
73,2021-03-15,3.0,11.2,6.0,8.4,11.2,3.4,6.2,5.5,82.8,0.361,100,4.17,rain,0.0,0.0,42.5,33.1,269.2,1022.1,81.9,11.4,366.0,31.6,5,2021-03-15T06:24:03,2021-03-15T18:15:20,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,2
74,2021-03-16,1.0,14.9,6.6,9.8,14.9,4.3,8.1,7.0,83.9,0.215,100,8.33,rain,0.0,0.0,44.6,24.7,269.5,1028.9,53.2,9.5,364.0,31.2,6,2021-03-16T06:21:47,2021-03-16T18:17:03,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,3
75,2021-03-17,1.0,10.6,3.7,6.9,10.6,2.0,5.4,2.2,72.4,0.045,100,4.17,rain,0.0,0.0,29.5,14.3,320.6,1033.8,41.7,10.8,273.2,23.7,3,2021-03-17T06:19:31,2021-03-17T18:18:44,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,4
76,2021-03-18,1.0,11.0,2.0,7.0,11.0,-0.4,5.4,4.2,82.8,0.0,0,0.0,,0.0,0.0,33.8,16.6,308.3,1030.2,69.9,11.4,326.4,28.2,4,2021-03-18T06:17:15,2021-03-18T18:20:26,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,5
77,2021-03-19,1.0,9.0,6.8,8.1,7.0,3.1,5.3,5.5,84.0,0.25,100,12.5,rain,0.0,0.0,43.6,27.1,9.9,1028.4,97.1,13.6,341.5,29.4,3,2021-03-19T06:14:58,2021-03-19T18:22:08,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,6
78,2021-03-20,1.0,10.0,5.4,7.4,8.1,2.8,5.8,5.3,86.5,0.0,0,0.0,,0.0,0.0,23.4,16.0,278.7,1031.7,95.3,11.7,326.0,28.1,2,2021-03-20T06:12:42,2021-03-20T18:23:49,0.23,Overcast,Cloudy skies throughout the day.,cloudy,7
79,2021-03-21,4.0,11.0,6.0,8.5,11.0,4.0,7.1,4.6,77.0,0.0,0,0.0,,0.0,0.0,26.3,16.6,336.2,1029.0,94.9,12.8,365.1,31.3,4,2021-03-21T06:10:25,2021-03-21T18:25:31,0.25,Overcast,Cloudy skies throughout the day.,cloudy,8
