,first_road_class,road_type,speed_limit,junction_detail,light_conditions,weather_conditions,road_surface_conditions,preciptype,conditions,icon
1199,3,6,20,0,1,1,1,None,Partially cloudy,partly-cloudy-day
1200,3,6,30,3,1,1,1,None,Partially cloudy,partly-cloudy-day
1201,3,6,20,3,1,9,1,None,Partially cloudy,partly-cloudy-day
1202,6,6,30,3,1,1,1,rain,"Rain, Partially cloudy",rain
1203,4,6,30,0,1,9,1,rain,"Rain, Partially cloudy",rain
1204,6,6,20,0,4,2,2,rain,"Rain, Partially cloudy",rain
1205,3,6,30,3,1,1,1,rain,"Rain, Partially cloudy",rain
1206,3,6,20,0,1,8,2,rain,"Rain, Partially cloudy",rain
1207,6,6,20,0,1,1,1,rain,"Rain, Partially cloudy",rain
1208,4,1,20,2,1,9,2,rain,"Rain, Partially cloudy",rain
1209,3,6,20,3,1,1,1,rain,"Rain, Partially cloudy",rain
1210,6,6,20,0,1,1,1,rain,"Rain, Partially cloudy",rain
1211,6,1,20,2,1,1,1,rain,"Rain, Partially cloudy",rain
1212,4,6,30,3,1,1,1,rain,Clear,clear-day
1213,6,2,20,0,1,1,1,rain,Partially cloudy,partly-cloudy-day
1214,3,1,30,1,1,1,1,rain,"Rain, Partially cloudy",rain
1215,3,6,40,3,1,1,1,rain,Partially cloudy,partly-cloudy-day
1216,6,6,20,0,1,1,1,rain,"Rain, Overcast",rain
1217,4,6,30,3,4,1,1,rain,"Rain, Partially cloudy",rain
1218,6,6,20,0,1,2,2,rain,"Rain, Partially cloudy",rain
1219,6,6,20,0,4,1,1,rain,Clear,clear-day
1220,3,6,40,0,4,1,1,rain,"Rain, Partially cloudy",rain
1221,3,2,30,3,4,1,1,rain,"Rain, Partially cloudy",rain
1222,6,6,20,3,1,1,1,"rain,snow","Snow, Rain, Partially cloudy",rain
1223,6,6,30,3,1,1,1,rain,"Rain, Partially cloudy",rain
1224,4,6,20,3,1,1,1,None,Clear,clear-day
1225,3,6,30,3,1,1,1,None,Clear,clear-day
1226,3,6,20,6,4,1,1,None,Partially cloudy,partly-cloudy-day
1227,6,6,20,3,4,2,2,rain,"Rain, Overcast",rain
1228,6,2,20,3,1,1,1,rain,"Rain, Overcast",rain
1229,6,6,20,6,1,1,1,rain,"Rain, Partially cloudy",rain
1230,3,6,30,6,1,1,1,None,Partially cloudy,partly-cloudy-day
1231,3,6,40,3,4,1,1,None,Partially cloudy,partly-cloudy-day
