,first_road_class,road_type,speed_limit,junction_detail,light_conditions,weather_conditions,road_surface_conditions,preciptype,conditions,icon
1502,3,6,20,3,4,1,1,rain,Partially cloudy,partly-cloudy-day
1503,6,6,30,0,4,1,1,rain,"Rain, Partially cloudy",rain
1504,4,6,30,3,4,4,2,rain,"Rain, Partially cloudy",rain
1505,6,6,30,0,1,1,1,None,Partially cloudy,partly-cloudy-day
1506,6,6,20,0,4,1,2,rain,"Rain, Partially cloudy",rain
1507,1,3,70,0,6,1,1,rain,"Rain, Partially cloudy",rain
1508,6,6,30,3,1,1,1,rain,"Rain, Partially cloudy",rain
1509,3,1,30,1,1,1,1,rain,"Rain, Partially cloudy",rain
1510,3,6,30,0,1,2,2,rain,"Rain, Partially cloudy",rain
1511,6,6,20,0,1,1,1,rain,"Rain, Partially cloudy",rain
1512,6,6,30,6,1,1,1,rain,"Rain, Partially cloudy",rain
